,Date,SX5E,Value
421,1991/9/3,-1.741957532633109,-0.031897753
422,1991/9/4,-1.7391400329321924,-0.031856015
423,1991/9/5,-1.7391497820661057,-0.031814232
424,1991/9/6,-1.7414993233391884,-0.031772465
425,1991/9/9,-1.7392472734052375,-0.03164719
426,1991/9/10,-1.7381943669426114,-0.031605467
427,1991/9/11,-1.730853269105967,-0.031563684
428,1991/9/12,-1.726563650184156,-0.03152202
429,1991/9/13,-1.7488599194436591,-0.031480253
430,1991/9/16,-1.7454769699757766,-0.031355098
431,1991/9/17,-1.7312042379268422,-0.031313404
432,1991/9/18,-1.7349966510190797,-0.03127165
433,1991/9/19,-1.7365272650434531,-0.031230003
434,1991/9/20,-1.721416107477983,-0.031188264
435,1991/9/23,-1.7305412968207443,-0.031063214
436,1991/9/24,-1.7301708297320424,-0.03102152
437,1991/9/25,-1.7198075003823041,-0.030979872
438,1991/9/26,-1.720470441488402,-0.030938163
439,1991/9/27,-1.7207629155057982,-0.03089653
440,1991/9/30,-1.7210651386571076,-0.030771539
441,1991/10/1,-1.7214356057458093,-0.030729875
442,1991/10/2,-1.7208506577110172,-0.030688226
443,1991/10/3,-1.7188130887231567,-0.030646577
444,1991/10/4,-1.7157713589422365,-0.030604944
445,1991/10/7,-1.7154788849248404,-0.030480042
446,1991/10/8,-1.717769931394444,-0.030438468
447,1991/10/9,-1.71961251770404,-0.030396864
448,1991/10/10,-1.7154886340587536,-0.03035529
449,1991/10/11,-1.7139580200343802,-0.030313686
450,1991/10/14,-1.7116572244308634,-0.030188903
451,1991/10/15,-1.7076503303925357,-0.03014727
452,1991/10/16,-1.7019860835889626,-0.030105695
453,1991/10/17,-1.7088787212655996,-0.03006412
454,1991/10/18,-1.7113842486812936,-0.030022576
455,1991/10/21,-1.72012922180144,-0.029897913
456,1991/10/22,-1.712671134357837,-0.029856369
457,1991/10/23,-1.711637726163037,-0.029814765
458,1991/10/24,-1.7095904080412638,-0.02977319
459,1991/10/25,-1.70884947386386,-0.029731706
460,1991/10/28,-1.7073773546429658,-0.029607132
461,1991/10/29,-1.6972870010427972,-0.029565588
462,1991/10/30,-1.692841395978375,-0.029524013
463,1991/10/31,-1.6991978312897855,-0.029482529
464,1991/11/1,-1.702668522962887,-0.029441014
465,1991/11/4,-1.7018398465802647,-0.0293165
466,1991/11/5,-1.695863627491469,-0.029275075
467,1991/11/6,-1.697472234587148,-0.02923356
468,1991/11/7,-1.6996755388515328,-0.029192075
469,1991/11/8,-1.7003872256271968,-0.02915059
470,1991/11/11,-1.7030097426498494,-0.029026195
471,1991/11/12,-1.7073286089733997,-0.02898474
472,1991/11/13,-1.7082255292934148,-0.028943226
473,1991/11/14,-1.7158298537457157,-0.0289018
474,1991/11/15,-1.7144747241317801,-0.028860345
475,1991/11/18,-1.7227517388240925,-0.02873601
476,1991/11/19,-1.7219718081110358,-0.028694555
477,1991/11/20,-1.7274703196380843,-0.02865313
478,1991/11/21,-1.723161202448447,-0.028611705
479,1991/11/22,-1.728445233029405,-0.02857034
480,1991/11/25,-1.7360885540173587,-0.028446093
481,1991/11/26,-1.735532853384306,-0.028404668
482,1991/11/27,-1.7378726455234756,-0.028363213
483,1991/11/29,-1.7363810280347551,-0.028280482
484,1991/12/2,-1.7386623253704452,-0.028156355
485,1991/12/3,-1.7398614688417697,-0.02811499
486,1991/12/4,-1.737141460479985,-0.028073594
487,1991/12/5,-1.7432346691757392,-0.028032228
488,1991/12/6,-1.74290319862269,-0.027990893
489,1991/12/9,-1.7513264503237005,-0.027866796
490,1991/12/10,-1.7418795395618034,-0.02782546
491,1991/12/11,-1.741343337196577,-0.027784064
492,1991/12/12,-1.746393388563618,-0.027742758
493,1991/12/13,-1.7481969783375613,-0.027701393
494,1991/12/16,-1.7524281024558928,-0.027577415
495,1991/12/17,-1.7447945306018522,-0.02753611
496,1991/12/18,-1.7419672817670222,-0.027494833
497,1991/12/19,-1.7535979985254775,-0.027453497
498,1991/12/20,-1.7547191489254963,-0.027412191
499,1991/12/23,-1.7590672626507864,-0.027288273
500,1991/12/24,-1.753948967346353,-0.027246997
501,1991/12/26,-1.7751728318754034,-0.027164444
502,1991/12/27,-1.7992336943731968,-0.027123138
503,1991/12/30,-1.799857638943642,-0.02699931
504,1991/12/31,-1.8074912107976828,-0.026958033
505,1992/1/2,-1.808300388912479,-0.02687554
506,1992/1/3,-1.8197653703944094,-0.026834235
507,1992/1/6,-1.814676322491716,-0.026710525
508,1992/1/7,-1.8151540300534628,-0.02666922
509,1992/1/8,-1.8087975947420523,-0.026628062
510,1992/1/9,-1.8047712024358982,-0.026586816
